record_id,study_id,citation,doi,notes_source_in_article
R00002,Foulkes_2023_BREXIT,Foulkes et al. Circulation 2023;147:532–545,10.1161/CIRCULATIONAHA.122.062814,Tablas 1–3; secciones Methods/Results (Tabla S1)
R00006,Antunes_2023_EurJPC_SETp,Antunes et al. Eur J Prev Cardiol 2023;30:844–855,10.1093/eurjpc/zwad063,Tabla 2; sección Methods (Tabla S1)
R00027,Kirkham_2018_BCRTT_acute_prechemo,Kirkham et al. Breast Cancer Res Treat 2018;167:719–729,10.1007/s10549-017-4554-4,Sección Methods; Tabla 1 (Tabla S1)
R00012,Kirkham_2017_proof_of_concept,Kirkham et al. Int J Cardiol 2017;245:263–270,10.1016/j.ijcard.2017.07.037,Reporte adicional del mismo ensayo (Tabla S1; referencias 31)
R00024,Jacquinot_2022_CARDAPAC_trastuzumab,Jacquinot et al. Front Cardiovasc Med 2022;9:1000846,10.3389/fcvm.2022.1000846,Secciones Methods/Results; Tabla 4 (Tabla S1)
R01154,Jacquinot_2026_CARDAPAC_neuregulin1,Jacquinot et al. Breast Cancer Res Treat 2026;215:69,10.1007/s10549-026-07903-x,Reporte adicional CARDAPAC centrado en neuregulina‑1 (sección 3.2; referencia 37)
R01125,Abdelhady_2025_CORE,Abdelhady et al. J Saudi Heart Assoc 2025;37(2):Article 9,10.37616/2212-5043.1433,Sección Methods; Tabla 1 (Tabla S1)
R00032,Hojan_2020_REH_HER,Hojan et al. J Clin Med 2020;9:1379,10.3390/jcm9051379,Figura 1 CONSORT; Tablas 1–3; secciones Methods/Results (Tabla S1)
R00113,Chung_2022_RealTimeExercise_RCT,Chung et al. Ann Phys Rehabil Med 2022;65:101485,10.1016/j.rehab.2021.101485,Tabla 1; secciones 2.1–2.2 (Tabla S1)
