record_id,study_id,evidence_source
R00002,Foulkes_2023_BREXIT,R00002.pdf
R00006,Antunes_2023_EurJPC_SETp,R00006.pdf
R00012,Kirkham_2018_BCRTT_acute_prechemo,R00012.pdf
R00024,Jacquinot_2022_CARDAPAC_trastuzumab,R00024.pdf
R00027,Kirkham_2018_BCRTT_acute_prechemo,R00027.pdf
R00032,Hojan_2020_REH_HER,R00032.pdf
R00113,Chung_2022_RealTimeExercise_RCT,R00113.pdf
R01125,Abdelhady_2025_CORE,R01125.pdf
R01154,Jacquinot_2022_CARDAPAC_trastuzumab,R01154.pdf
