record_id,title,year,source,Final_decision,Final_reason_code,Final_notes,FullText_needed
R00034,Mitigating Cardiotoxicity Associated with Anticancer Drugs: An Updated Systematic Review.,2024.0,PubMed,DUDA,TA3,No se menciona antraciclina/anti-HER2 en T/A,SÍ
R00035,Adapted Physical Activity for Breast Cancer Patients Treated with Neoadjuvant Chemotherapy and Trastuzumab Against HER2 (APACAN2): A Protocol for a Feasibility Study.,2021.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00036,Patient reported physical and mental health changes associated with a comprehensive cardiovascular risk reduction program for women with breast cancer receiving potentially cardiotoxic chemotherapy.,2021.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00037,Dual HER2 Blockade versus a Single Agent in Trastuzumab-Containing Regimens for HER2-Positive Early Breast Cancer: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,2020.0,PubMed,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00038,Weekly combination of non-pegylated liposomal doxorubicin and taxane in first-line breast cancer: wALT trial (phase I-II).,2011.0,PubMed,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00039,Rationale and design of the multidisciplinary team IntervenTion in cArdio-oNcology study (TITAN).,2016.0,PubMed,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00040,Take charge during treatment: a protocol for a pilot study to evaluate the impact of exercise on cardiovascular biomarkers among black and white breast cancer patients undergoing treatment.,2025.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00041,Risk-guided disease management to prevent heart failure in adult cancer survivors of previous cardiotoxic cancer treatments: Baseline results of the REDEEM trial.,2026.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00042,,2020.0,PubMed,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00043,[Construction of a risk prediction model for chemotherapy-induced cardio-toxicity in breast cancer patients based on machine learning algorithm].,2025.0,PubMed,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00044,Early detection of the anthracycline-induced cardiotoxicity. A non-invasive haemodynamic study.,1997.0,PubMed,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00045,Machine learning models using multimodal data accurately predict chemotherapy-induced cardiotoxicity in breast cancer.,2025.0,PubMed,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00047,Treatment-Induced Cardiotoxicity in Breast Cancer: A Review of the Interest of Practicing a Physical Activity,2019.0,Web of Science,EXCLUIR,TA4,Revisión (no ECA) (según T/A),NO
R00048,"Self-Reported Physical Activity, QoL, Cardiac Function, and Cardiorespiratory Fitness in Women With HER2+Breast Cancer",2022.0,Web of Science,DUDA,TA4,No queda claro que sea ECA/RCT en T/A,SÍ
