Identificación del estudio,País/centro,Diseño,Población,Estadio,Terapia,n ejercicio,n control,Tiempos,Fuente (tabla/sección)
"[28] Foulkes_2023_BREXIT
Foulkes et al. Circulation 2023;147:532–545. DOI:10.1161/CIRCULATIONAHA.122.062814","Melbourne, Australia","ECA/RCT 1:1, estratificado por edad y HER2","Mujeres 40–75 años, cáncer de mama estadio I–III, programadas para quimioterapia con antraciclinas",I–III,AC (doxorrubicina); algunos recibieron terapia dirigida HER2,52,52,"Evaluaciones: basal, 4 meses, 12 meses",Tablas 1–3; secciones Methods/Results.
"[29] Antunes_2023_EurJPC_SETp
Antunes et al. Eur J Prev Cardiol 2023;30(9). DOI:10.1093/eurjpc/zwad063","Vila Nova de Gaia, Portugal",ECA/RCT,Mujeres con cáncer de mama estadio temprano en quimioterapia con antraciclinas,Estadio temprano (no metastásico; intención curativa),Antraciclinas (doxorrubicina/epirubicina); algunos con anti-HER2,47,46,Basal; fin de ciclos AC; 3 meses post-AC,Tabla 2; sección Methods.
"[30-31] Kirkham_2018_BCRTT_acute_prechemo
Kirkham et al. Breast Cancer Res Treat 2018;167:719–729. DOI:10.1007/s10549-017-4554-4 (reporte adicional del mismo ensayo: Kirkham et al., 2017)","Vancouver, Canadá",ECA/RCT,Mujeres con cáncer de mama I–III tratadas con AC,I–III,Doxorrubicina + ciclofosfamida (AC),14,13,Basal; fin de AC (7–14 días tras última dosis),Sección Methods; Tabla 1 (y reporte asociado de 2017) (analizadas: 13/11).
"[32-33] Jacquinot_2022_CARDAPAC_trastuzumab
Jacquinot et al. Front Cardiovasc Med 2022;9:1000846. DOI:10.3389/fcvm.2022.1000846
Jacquinot et al. Jacquinot Q, Ennequin G, Falcoz A, Sawyer D, Meneveau N, Mougin F. Exercise training decreases Neuregulin-1 concentrations in HER2-positive breast cancer patients undergoing adjuvant trastuzumab: the CARDAPAC study. Breast Cancer Res Treat. 2026;215:69. doi:10.1007/s10549-026-07903-x.","Besançon, France",ECA/RCT 1:1 (texto Methods + Table 1 inclusión/exclusión),"Cáncer de mama HER2+ post quimio-radioterapia, LVEF≥50% (<3 meses) antes de trastuzumab adyuvante",No reportado explícitamente en tablas extraídas (metástasis excluida),Trastuzumab adyuvante; quimioterapia previa frecuentemente con antraciclinas±taxanos,46,43,"T0 (inclusión), T3 (~3 meses), T6 (~6 meses) (Tabla 4 y texto)",Secciones Methods/Results; Tabla 4.
"[34] Abdelhady_2025_CORE
Abdelhady et al. J Saudi Heart Assoc 2025;37(2):21–26. DOI:10.37616/2212-5043.1433",Egipto,ECA/RCT 1:1,100 mujeres con cáncer de mama de novo tratadas con quimioterapia basada en antraciclinas,I–III,Doxorrubicina 240 mg/m² (n=51) o epirubicina 300 mg/m² (n=49),50,50,"Basal, 3 meses y 6 meses tras inicio de quimioterapia",Sección Methods; Tabla 1.
"[35] Hojan_2020_REH_HER
Hojan et al. J Clin Med 2020. DOI:10.3390/jcm9051379","Poznań, Polonia",Ensayo clínico controlado aleatorizado,Mujeres con cáncer de mama durante terapia con trastuzumab (abstract),IB–IIIA,Paclitaxel semanal + trastuzumab c/3 semanas (12 semanas); luego trastuzumab c/3 semanas durante 9 meses,34,34,Basal; post 9 semanas de intervención (tras 3–6 meses de trastuzumab) IG=26; CG=21),Figura 1 (diagrama CONSORT); Tablas 1–3; secciones Methods/Results.
"[36] Chung_2022_RealTimeExercise_RCT
Chung et al. Ann Phys Rehabil Med 2022;65:101485. DOI:10.1016/j.rehab.2021.101485","Tainan, Taiwán",ECA/RCT 1:1; block randomization (tamaño 4),"Mujeres 30–65 años, cáncer de mama estadio I–III, planificadas para quimioterapia basada en antraciclinas (epirubicina o doxorrubicina); sin radioterapia ni terapia dirigida","I–III : CTL I=7, II=6, III=0; EX I=7, II=5, III=4",Antraciclinas: CEF (ciclofosfamida+epirubicina+5-FU) o AC→T (doxorrubicina+ciclofosfamida seguido de docetaxel),16,16,"Ecocardiografía: basal, 3, 6 y 12 meses. CPET: basal, 1.5, 3 y 6 meses. (abandono previo a basal en control: n final=13)",Tabla 1; secciones 2.1–2.2.
