item,n
Records identified (all sources),1282
Duplicates removed,217
Records screened (title/abstract),1065
Records excluded (title/abstract),906
Reports sought for retrieval,159
Reports not retrieved,0
Reports assessed for eligibility,159
Reports excluded (full text),150
Reports included,9
Studies included,7
