Identificación del estudio,Tipo,Frecuencia,Intensidad,Duración sesión,Duración programa,Momento (timing),Supervisión,Control,Adherencia,EA,Fuente (tabla/sección)
[28] Foulkes_2023_BREXIT,Multimodal (endurance/tempo/HIIT + fuerza),"3–4 días/semana; fases: 12 semanas 3 d/sem (supervisado), 14 semanas 4 d/sem (2 sup+2 no sup), 26 semanas 4 d/sem (mantenimiento)",Endurance 30–60 min a HR 5–30 bpm bajo VT; tempo 35 min ±10 bpm de VT; HIIT 4×2–4 min >85% HRmax; fuerza 60–85% 1RM (2×8–15),Sesiones con combinaciones; ver métodos,12 meses (3 fases: 12w + 14w + 26w),Fase 1 durante AC; fases 2–3 después de AC,Supervisión: fase 1 supervisada; fase 2 semisupervisada; fase 3 no supervisada con soporte remoto,Atención habitual con recomendación de actividad física,"Adherencia por fases reportada: 83%, 73%, 70%",No EA graves relacionados con ejercicio; EA menores en 17 participantes (exacerbación musculoesquelética n=12; hipotensión postural leve n=5),Sección Methods (intervención); Resultados (adherencia/EA).
[29] Antunes_2023_EurJPC_SETp,Aeróbico + fuerza (supervisado),3 sesiones/semana,Aeróbico + fuerza: aeróbico 20 min <50% HRR (2 semanas) → 30 min a 65–80% HRR; fuerza 2×10 rep (2 semanas) → 3×12RM (+5–10% carga). Calentamiento 5–10 min + enfriamiento 5 min,≈20→30 min aeróbico + fuerza (tiempo total no reportado),Hasta 20 semanas durante AC,Inicia 1–2 días tras 1.er ciclo de AC,Supervisado (fisiólogo del ejercicio + fisioterapeuta),Usual care,1664/2634 sesiones (63.2%); 50% cumplieron ≥80%,0 eventos adversos graves; 149 no graves,Sección Methods (programa SETP).
[30-31] Kirkham_2018_BCRTT_acute_prechemo,Aeróbico (bouts pre-quimio),4 sesiones prescritas (1 ~24 h antes de cada ciclo; total 4),65–80% HRR; reportado 71±3% HRR; RPE 13±1,45 min (5 min calentamiento + 30 min a 70% HRR + 10 min vuelta a la calma),Durante AC; cada sesión ~24h antes de la dosis,Antes de cada dosis de doxorrubicina (4 sesiones),Supervisado en laboratorio,Atención habitual,98% del tiempo objetivo (duración) completado,Sin eventos adversos,Sección Methods (exercise bouts); adherencia/EA; reporte asociado 2017.
[32] Jacquinot_2022_CARDAPAC_trastuzumab,Intervalos en cicloergómetro (base+peak) guiado por umbrales ventilatorios + supervisión,3 sesiones/semana,Base=potencia en VT1; Peak=potencia en VT2; reajuste ±10W si FC final sesión 10–12 lpm por debajo de FC objetivo,55 min/sesión (5 min warm-up + 45 min trabajo (9×5 min: 4 min base + 1 min peak) + 5 min recuperación activa),12 semanas (36 sesiones),Durante tratamiento adyuvante con trastuzumab (post quimio-radioterapia),Supervisado por especialista en actividad física adaptada,Trastuzumab sin programa de ejercicio supervisado,Evaluables en endpoint primario: TG 42/46; CG 33/43 (texto Cardiotoxicity),Programa bien tolerado; sin efectos adversos observados en el grupo de entrenamiento,Sección Methods (programa supervisado); Resultados (tolerabilidad).
[33] Abdelhady_2025_CORE,Ejercicio aeróbico moderado en cinta + caminata domiciliaria,12 sesiones supervisadas + caminata 30 min/día en casa,40–80% HRR (Karvonen),40 min (10 warm-up + 20 aeróbico + 10 cool-down),Durante periodo del estudio (hasta 6 meses; seguimiento por teléfono),Durante quimioterapia,Sesiones hospitalarias supervisadas; seguimiento telefónico,Quimioterapia sola,Media 8.9/12 sesiones ±2.1; 74% adherencia; 60% realizó ejercicio en casa,No reportado,Descripción del programa; adherencia.
[34] Hojan_2020_REH_HER,"Aeróbico + fuerza con herramientas (bandas/TRX, etc.)",5 días/semana,Aeróbico progresivo hasta 80% FCmáx; fuerza 50–60% 1RM,≈45–50 min aeróbico + 40–45 min fuerza por sesión,9 semanas,Tras 3–6 meses de trastuzumab,Supervisado (programa de rehabilitación con TRX),Control group (sin programa de ejercicio),Asistencia media 98.7% de las sesiones,No reportado,Abstract/Methods.
[35] Chung_2022_RealTimeExercise_RCT,Programa estructurado supervisado: aeróbico + fuerza + flexibilidad,2–3 sesiones/semana; total 24 sesiones en 3 meses,Aeróbico: 70–80% HRR (RPE 13–14) o 70–75% VO2; warm-up/cool-down 50% HRR (RPE 11),40 min aeróbico + 15 min fuerza + 5 min flexibilidad,3 meses (24 sesiones) durante quimioterapia; pausado durante semana 2 de cada ciclo hasta ANC ≥500,Comienza con el primer ciclo de quimioterapia; mantenido durante quimioterapia,Supervisado por fisioterapeutas; monitorización de signos vitales y RPE,Atención habitual oncológica,Asistencia 82% (sesiones/24); adherencia a intensidad 76% (proporción de sesiones alcanzando intensidad objetivo),Sin eventos adversos o no deseados,Secciones 2.1–2.2.
